Métrica,Feature,Beta_Coef,P_Value,Significativo
PD,PROPN_Ratio,0.024774603926479566,0.6547730900475407,
PD,NUM_Ratio,0.0005956912783991672,0.9931450527066498,
PD,Max_IDF,-0.10002501139840857,0.01031142837643158,*
PD,ADJ_Ratio,0.09905674820212979,0.0707748639528119,
PD,VERB_Ratio,-0.1329075797142303,0.0203539535048431,*
PD,Tree_Depth,0.017871129709521916,0.7080272349494401,
PD,NER_Count,0.10818143659975808,0.06831761269418471,
AMB,PROPN_Ratio,-0.028362088301628688,0.6487339923948988,
AMB,NUM_Ratio,-0.03155867916704855,0.6197805599777819,
AMB,Max_IDF,0.07545798127773917,0.0017789243138928367,**
AMB,ADJ_Ratio,-0.0802036689987029,0.10519796335416927,
AMB,VERB_Ratio,0.05648614292830017,0.28230449913520206,
AMB,Tree_Depth,-0.020333812428151972,0.635823596800275,
AMB,NER_Count,0.0461984568447733,0.5387960179930718,
nGAIN,PROPN_Ratio,-0.006371328457520505,0.9203284103970001,
nGAIN,NUM_Ratio,-0.033504754496155705,0.6461515685401831,
nGAIN,Max_IDF,-0.02414286388623809,0.6364003414730335,
nGAIN,ADJ_Ratio,0.013628945424434484,0.8203789139469361,
nGAIN,VERB_Ratio,-0.20916923832340475,0.0001566375642912265,***
nGAIN,Tree_Depth,-0.055003124849768215,0.28499267859747124,
nGAIN,NER_Count,0.12398064362373643,0.02912229107384598,*
LEC,PROPN_Ratio,-0.07690262711457033,0.10101211293160699,
LEC,NUM_Ratio,0.037879874470190276,0.19031958872141652,
LEC,Max_IDF,-0.036751272478354954,0.2962998361995951,
LEC,ADJ_Ratio,-0.37929487483996094,9.469543336736614e-05,***
LEC,VERB_Ratio,-0.2140641618788639,0.0013459126391684158,**
LEC,Tree_Depth,-0.04319332113737097,0.3366218034792464,
LEC,NER_Count,0.06172458394240274,0.1597508180060504,
CONS,PROPN_Ratio,-0.09040094063709235,0.23011962295670274,
CONS,NUM_Ratio,-0.0883785248513159,0.17984246088975608,
CONS,Max_IDF,-0.028963868123157252,0.2704467794097304,
CONS,ADJ_Ratio,-0.06607079536038427,0.3334053135641084,
CONS,VERB_Ratio,-0.3015954084251276,4.8574645604366616e-08,***
CONS,Tree_Depth,0.11305676318023067,0.020493995853862395,*
CONS,NER_Count,-0.09765368750518404,0.14701212809205422,
